timepoint,06:15:00–07:44:00,07:45:00–12:14:00,12:15:00–14:14:00,14:15:00–15:14:00,15:15:00–16:44:00,16:45:00–18:44:00,18:45:00–21:14:00,21:15:00–23:50:00
River St S. & Soquel Ave,9,10,11,10,10,10,9,8
High & Moore,9,10,10,10,10,10,9,8
McLaughlin Dr (UCSC - Science Hill),17,18,20,23,23,19,18,15
total,35,38,41,43,43,39,36,31

River St S. & Soquel Ave,8,9,9,9,9,9,9,9
High & Moore,9,9,9,10,10,10,9,9
McLaughlin Dr (UCSC - Science Hill),18,19,19,19,19,18,17,17
total,35,37,37,38,38,37,35,35

total,40,45,46,49,51,43,40,35
