routeShortName,tripPatternId,scheduledRuntimeMinutes,percentile,observedRuntimeSeconds,fromStop,toStop
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,530.365234375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,514.869140625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,648.755859375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,540.859375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,639.08984375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,509.435546875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,741.001953125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,545.962890625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,741.205078125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,550.353515625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,718.03515625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,563.27734375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,666.2890625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,581.9296875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,681.96484375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,599.40625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,703.07421875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,665.625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,773.203125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,643.07421875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,745.640625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,671.3125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,717.63671875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,689.71875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,727.421875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,685.30859375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,725.52734375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,720.86328125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,688.10546875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,785.73046875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,730.17578125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,669.83984375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,741.796875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,752.046875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,728.46875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,698.6171875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,680.47265625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,722.15625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,705.68359375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,698.34375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,721.1484375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,665.375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,738.4296875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,663.6953125,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,11,60,644.3515625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,609.765625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,622.8359375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,678,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,10,60,598.59375,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,566.6171875,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,538.140625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,579.9140625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,574.9140625,River St S. & Soquel Ave,High & Moore
11,route_11_1726_to_1594_dd725aa39c0903a3f50ec032307afb4b2cfb5d59cd184b00af212446f4e4137c,9,60,562.625,River St S. & Soquel Ave,High & Moore
