Suggested Runtimes
percentile,timepoint,06:05:00–06:44:00,06:45:00–07:24:00,07:25:00–08:24:00,08:25:00–08:44:00,08:45:00–10:24:00,10:25:00–11:24:00,11:25:00–11:44:00,11:45:00–12:24:00,12:25:00–12:44:00,12:45:00–13:44:00,13:45:00–14:04:00,14:05:00–14:24:00,14:25:00–14:44:00,14:45:00–15:04:00,15:05:00–15:24:00,15:25:00–16:24:00,16:25:00–17:24:00,17:25:00–18:04:00,18:05:00–18:24:00,18:25:00–18:44:00,18:45:00–19:04:00,19:05:00–19:24:00,19:25:00–21:40:00
30th percentile,Front & Soquel Ave,8,8,11,11,11,12,13,12,12,13,13,12,14,14,16,17,15,13,12,11,11,11,10
40th percentile,Capitola Rd & 7th Ave,8,9,10,11,10,11,12,10,14,12,13,12,14,13,12,14,13,12,10,11,11,10,9
50th percentile,Capitola Mall - Lane 2,12,13,14,14,14,16,18,17,18,18,19,19,22,22,24,24,22,17,14,12,15,13,13
50th percentile,Soquel Dr & Cabrillo College Dr,18,20,21,20,20,21,22,21,23,22,23,22,25,25,23,25,22,20,19,18,21,19,19
60th percentile,Main & S Green Valley Rd,6,7,7,8,8,8,9,9,10,9,10,9,10,12,9,10,9,8,7,7,9,7,7
,total,104,114,126,128,126,136,148,138,154,148,156,148,170,172,168,180,162,140,124,118,134,120,116

Scheduled Runtimes
,timepoint,06:05:00–06:44:00,06:45:00–07:24:00,07:25:00–08:24:00,08:25:00–08:44:00,08:45:00–10:24:00,10:25:00–11:24:00,11:25:00–11:44:00,11:45:00–12:24:00,12:25:00–12:44:00,12:45:00–13:44:00,13:45:00–14:04:00,14:05:00–14:24:00,14:25:00–14:44:00,14:45:00–15:04:00,15:05:00–15:24:00,15:25:00–16:24:00,16:25:00–17:24:00,17:25:00–18:04:00,18:05:00–18:24:00,18:25:00–18:44:00,18:45:00–19:04:00,19:05:00–19:24:00,19:25:00–21:40:00
,Front & Soquel Ave,6,6,9,9,9,9,9,9,10,11,11,11,12,12,13,14,13,11,10,10,10,10,8
,Capitola Rd & 7th Ave,8,9,10,10,10,12,12,12,12,12,12,13,13,13,14,15,14,12,11,10,10,10,10
,Capitola Mall - Lane 2,11,12,13,13,13,15,16,16,16,17,18,19,22,22,22,23,23,17,14,12,12,12,11
,Soquel Dr & Cabrillo College Dr,17,18,18,18,20,20,20,20,21,21,21,21,22,22,22,22,22,19,17,17,17,17,17
,Main & S Green Valley Rd,10,10,10,10,11,12,13,14,14,14,14,14,14,14,13,13,12,11,11,11,11,11,11
,total,52,55,60,60,63,68,70,71,73,75,76,78,83,83,84,87,84,70,63,60,60,60,57
,total,104,110,120,120,126,136,140,142,146,150,152,156,166,166,168,174,168,140,126,120,120,120,114

End to End 90th percentile
,timepoint,06:05:00–06:44:00,06:45:00–07:24:00,07:25:00–08:24:00,08:25:00–08:44:00,08:45:00–10:24:00,10:25:00–11:24:00,11:25:00–11:44:00,11:45:00–12:24:00,12:25:00–12:44:00,12:45:00–13:44:00,13:45:00–14:04:00,14:05:00–14:24:00,14:25:00–14:44:00,14:45:00–15:04:00,15:05:00–15:24:00,15:25:00–16:24:00,16:25:00–17:24:00,17:25:00–18:04:00,18:05:00–18:24:00,18:25:00–18:44:00,18:45:00–19:04:00,19:05:00–19:24:00,19:25:00–21:40:00
,total,58,62,72,80,72,77,86,84,93,85,91,89,101,114,102,115,99,83,72,69,78,68,65
